contrat_id,client_id,produit_id,agence_id,montant_finance,apport_client,taux_interet,duree_mois,mensualite,date_deblocage,date_fin_prevue,statut_contrat,motif_credit,nb_echeances_total,montant_total_du
CTR0000027,CLI002286,PROD004,AG010,20122.91,2012.29,8.77,36,637.75,2016-06-18,2019-06-03,En retard,Équipement,36,22959.0
CTR0000028,CLI001451,PROD008,AG009,93546.28,0.0,7.67,30,3436.64,2015-10-11,2018-03-29,En retard,Consommation,30,103099.2
CTR0000029,CLI006301,PROD002,AG003,199269.28,39853.86,9.22,54,4522.44,2022-01-22,2026-06-30,En cours,Automobile,54,244211.76
CTR0000030,CLI007480,PROD006,AG019,48686.45,0.0,13.1,78,930.4,2018-07-04,2024-11-29,En cours,Restructuration,78,72571.2
CTR0000031,CLI007754,PROD005,AG003,60467.14,9070.07,10.57,12,5332.07,2018-09-19,2019-09-14,En cours,Automobile,12,63984.84
CTR0000032,CLI004243,PROD007,AG015,78992.11,0.0,9.89,24,3641.08,2015-02-23,2017-02-12,En cours,Consommation,24,87385.92
CTR0000033,CLI005733,PROD001,AG021,296553.75,29655.38,5.6,12,25468.83,2015-07-30,2016-07-24,Soldé,Automobile,12,305625.96
CTR0000034,CLI005406,PROD002,AG015,64381.89,12876.38,10.2,36,2083.47,2021-04-02,2024-03-17,Soldé,Automobile,36,75004.92
CTR0000035,CLI004260,PROD004,AG021,18433.77,1843.38,8.86,36,584.99,2016-07-30,2019-07-15,En contentieux,Équipement,36,21059.64
CTR0000036,CLI009429,PROD003,AG006,28041.87,0.0,9.5,60,588.93,2017-07-17,2022-06-21,Soldé,Consommation,60,35335.8
CTR0000037,CLI005680,PROD008,AG021,85172.74,0.0,9.5,48,2139.81,2015-04-13,2019-03-23,Soldé,Consommation,48,102710.88
CTR0000038,CLI003021,PROD005,AG009,44991.27,6748.69,11.8,18,2739.48,2015-05-15,2016-11-05,En cours,Automobile,18,49310.64
CTR0000039,CLI007910,PROD005,AG002,35949.94,5392.49,11.57,18,2185.13,2016-10-27,2018-04-20,En cours,Automobile,18,39332.34
CTR0000040,CLI004019,PROD004,AG012,60792.89,6079.29,8.41,12,5299.81,2021-04-07,2022-04-02,Soldé,Équipement,12,63597.72
CTR0000041,CLI003548,PROD004,AG015,50129.36,5012.94,9.86,48,1268.04,2021-02-04,2025-01-14,En cours,Équipement,48,60865.92
CTR0000042,CLI001397,PROD006,AG018,292681.33,0.0,12.3,54,7084.73,2022-09-14,2027-02-20,Soldé,Restructuration,54,382575.42
CTR0000043,CLI000092,PROD007,AG020,35552.77,0.0,8.95,30,1327.01,2019-03-24,2021-09-09,Soldé,Consommation,30,39810.3
CTR0000044,CLI002374,PROD002,AG010,127865.36,25573.07,10.42,42,3646.29,2018-10-12,2022-03-25,Soldé,Automobile,42,153144.18
CTR0000045,CLI002684,PROD008,AG015,72065.65,0.0,7.94,30,2656.4,2022-02-09,2024-07-28,En cours,Consommation,30,79692.0
CTR0000046,CLI005208,PROD002,AG021,146435.91,29287.18,9.79,48,3699.24,2021-03-07,2025-02-14,Soldé,Automobile,48,177563.52
CTR0000047,CLI006941,PROD008,AG004,101784.68,0.0,9.46,60,2135.68,2023-02-25,2028-01-30,En cours,Consommation,60,128140.8
CTR0000048,CLI000042,PROD006,AG004,264763.84,0.0,11.02,30,10137.13,2018-06-03,2020-11-19,Restructuré,Restructuration,30,304113.9
CTR0000049,CLI007576,PROD005,AG019,60956.89,9143.53,9.36,30,2286.77,2021-03-11,2023-08-28,En retard,Automobile,30,68603.1
CTR0000050,CLI005851,PROD008,AG008,119688.99,0.0,6.98,60,2368.86,2019-05-26,2024-04-29,Soldé,Consommation,60,142131.6
CTR0000051,CLI005231,PROD007,AG013,69593.19,0.0,7.82,18,4110.05,2018-01-24,2019-07-18,Soldé,Consommation,18,73980.9
CTR0000052,CLI003828,PROD003,AG018,23182.59,0.0,12.98,54,569.08,2015-11-20,2020-04-27,En cours,Consommation,54,30730.32
CTR0000053,CLI002216,PROD003,AG007,30041.98,0.0,10.24,30,1139.28,2015-11-16,2018-05-04,Soldé,Consommation,30,34178.4
CTR0000054,CLI009011,PROD008,AG021,38866.71,0.0,8.06,48,949.95,2015-09-06,2019-08-16,Soldé,Consommation,48,45597.6
CTR0000055,CLI004895,PROD006,AG015,97657.43,0.0,12.95,54,2395.78,2019-02-24,2023-08-02,En cours,Restructuration,54,129372.12
CTR0000056,CLI000455,PROD004,AG007,88599.27,8859.93,9.77,36,2849.29,2016-11-16,2019-11-01,Soldé,Équipement,36,102574.44
CTR0000057,CLI005387,PROD008,AG008,71160.2,0.0,6.53,18,4160.86,2020-11-27,2022-05-21,Soldé,Consommation,18,74895.48
CTR0000058,CLI009351,PROD002,AG007,38950.43,7790.09,9.23,24,1783.55,2022-01-15,2024-01-05,En retard,Automobile,24,42805.2
CTR0000059,CLI004165,PROD002,AG017,70124.54,14024.91,10.26,42,1994.37,2016-05-11,2019-10-23,En retard,Automobile,42,83763.54
CTR0000060,CLI000304,PROD005,AG014,59232.0,8884.8,10.57,48,1518.54,2018-11-13,2022-10-23,En cours,Automobile,48,72889.92
CTR0000061,CLI007808,PROD003,AG006,105504.19,0.0,11.23,12,9335.96,2019-05-09,2020-05-03,En cours,Consommation,12,112031.52
CTR0000062,CLI006389,PROD005,AG014,57117.05,8567.56,10.88,24,2658.92,2022-09-04,2024-08-24,Soldé,Automobile,24,63814.08
CTR0000063,CLI008613,PROD006,AG017,55367.68,0.0,10.92,36,1810.57,2019-02-08,2022-01-23,En cours,Restructuration,36,65180.52
CTR0000064,CLI005443,PROD001,AG004,452371.89,45237.19,5.9,48,10603.24,2020-03-09,2024-02-17,En cours,Automobile,48,508955.52
CTR0000065,CLI006630,PROD008,AG021,72217.86,0.0,8.25,18,4279.23,2018-09-30,2020-03-23,Soldé,Consommation,18,77026.14
CTR0000066,CLI004989,PROD001,AG021,458481.98,45848.2,8.03,72,8045.39,2021-12-07,2027-11-06,Soldé,Automobile,72,579268.08
CTR0000067,CLI009877,PROD006,AG015,71294.19,0.0,14.95,84,1373.75,2017-11-08,2024-10-02,Soldé,Restructuration,84,115395.0
CTR0000068,CLI005833,PROD007,AG020,47112.65,0.0,8.34,24,2138.09,2020-03-15,2022-03-05,En cours,Consommation,24,51314.16
CTR0000069,CLI002282,PROD005,AG003,61084.51,9162.68,11.52,18,3711.45,2023-03-17,2024-09-07,En contentieux,Automobile,18,66806.1
CTR0000070,CLI000614,PROD003,AG001,14420.84,0.0,9.88,24,664.65,2020-08-06,2022-07-27,En cours,Consommation,24,15951.6
CTR0000071,CLI006179,PROD007,AG007,17448.72,0.0,8.26,36,548.87,2018-02-21,2021-02-05,Soldé,Consommation,36,19759.32
CTR0000072,CLI006304,PROD001,AG004,275395.92,27539.59,8.24,84,4325.38,2018-01-11,2024-12-05,Soldé,Automobile,84,363331.92
CTR0000073,CLI005802,PROD001,AG009,469599.68,46959.97,5.54,48,10929.8,2017-07-08,2021-06-17,En cours,Automobile,48,524630.4
CTR0000074,CLI001214,PROD001,AG018,319243.16,31924.32,7.44,30,11694.61,2022-07-28,2025-01-13,En cours,Automobile,30,350838.3
CTR0000075,CLI008828,PROD002,AG010,187806.98,37561.4,8.31,60,3835.97,2016-06-18,2021-05-23,En cours,Automobile,60,230158.2
CTR0000076,CLI003901,PROD002,AG006,41757.39,8351.48,7.11,30,1523.39,2019-09-02,2022-02-18,Soldé,Automobile,30,45701.7
CTR0000077,CLI003320,PROD004,AG006,89973.38,8997.34,9.93,24,4148.91,2021-04-26,2023-04-16,En cours,Équipement,24,99573.84
CTR0000078,CLI005099,PROD003,AG020,13002.83,0.0,9.4,42,364.51,2019-05-09,2022-10-20,En cours,Consommation,42,15309.42
CTR0000079,CLI003227,PROD005,AG019,23415.66,3512.35,10.45,12,2063.51,2022-04-01,2023-03-27,En cours,Automobile,12,24762.12
CTR0000080,CLI003794,PROD008,AG016,100772.38,0.0,9.41,36,3223.8,2021-01-27,2024-01-12,Restructuré,Consommation,36,116056.8
CTR0000081,CLI008986,PROD005,AG002,74400.6,11160.09,10.32,48,1898.45,2022-04-28,2026-04-07,Soldé,Automobile,48,91125.6
CTR0000082,CLI002478,PROD006,AG015,124308.24,0.0,12.76,66,2630.64,2020-11-18,2026-04-21,En cours,Restructuration,66,173622.24
CTR0000083,CLI006971,PROD002,AG010,71835.92,14367.18,10.05,12,6317.19,2020-02-19,2021-02-13,Soldé,Automobile,12,75806.28
CTR0000084,CLI009827,PROD001,AG001,189102.16,18910.22,8.21,84,2967.21,2019-02-15,2026-01-09,En cours,Automobile,84,249245.64
CTR0000085,CLI003495,PROD004,AG002,15093.58,1509.36,10.33,36,489.37,2018-09-18,2021-09-02,En cours,Équipement,36,17617.32
CTR0000086,CLI004001,PROD001,AG007,403243.78,40324.38,8.26,48,9893.65,2021-02-15,2025-01-25,Soldé,Automobile,48,474895.2
CTR0000087,CLI009941,PROD002,AG007,99875.29,19975.06,8.54,36,3154.67,2020-04-24,2023-04-09,En cours,Automobile,36,113568.12
CTR0000088,CLI002409,PROD003,AG004,93696.52,0.0,13.49,48,2536.49,2017-09-08,2021-08-18,En cours,Consommation,48,121751.52
CTR0000089,CLI008206,PROD006,AG002,53010.02,0.0,12.27,24,2502.05,2020-09-11,2022-09-01,En cours,Restructuration,24,60049.2
CTR0000090,CLI003281,PROD001,AG012,268911.02,26891.1,6.8,30,9772.5,2017-01-20,2019-07-09,En cours,Automobile,30,293175.0
CTR0000091,CLI004155,PROD003,AG006,49788.83,0.0,9.94,18,2988.8,2018-06-22,2019-12-14,Soldé,Consommation,18,53798.4
CTR0000092,CLI007983,PROD004,AG013,10384.13,1038.41,8.72,36,328.86,2022-11-01,2025-10-16,Restructuré,Équipement,36,11838.96
CTR0000093,CLI003689,PROD004,AG020,92458.14,9245.81,11.44,48,2409.43,2020-12-16,2024-11-25,En contentieux,Équipement,48,115652.64
CTR0000094,CLI003319,PROD002,AG012,181875.2,36375.04,8.35,12,15850.49,2016-03-30,2017-03-25,En retard,Automobile,12,190205.88
CTR0000095,CLI002147,PROD008,AG013,10346.02,0.0,7.25,54,225.12,2015-06-20,2019-11-26,En cours,Consommation,54,12156.48
CTR0000096,CLI008443,PROD005,AG004,25893.95,3884.09,8.61,12,2259.78,2015-04-04,2016-03-29,En retard,Automobile,12,27117.36
CTR0000097,CLI007685,PROD003,AG014,130977.13,0.0,12.94,30,5133.39,2016-02-06,2018-07-25,En cours,Consommation,30,154001.7
CTR0000098,CLI005963,PROD003,AG009,16712.87,0.0,9.18,42,466.78,2021-11-26,2025-05-09,En cours,Consommation,42,19604.76
CTR0000099,CLI000957,PROD006,AG008,192010.16,0.0,14.79,90,3542.97,2019-09-10,2027-01-31,En cours,Restructuration,90,318867.3
CTR0000100,CLI000477,PROD001,AG004,418655.53,41865.55,5.81,84,6077.89,2022-11-01,2029-09-25,En retard,Automobile,84,510542.76
CTR0000101,CLI007967,PROD003,AG008,14235.16,0.0,12.5,24,673.43,2020-12-04,2022-11-24,Soldé,Consommation,24,16162.32
CTR0000102,CLI002440,PROD006,AG010,47917.93,0.0,14.25,72,993.81,2020-02-08,2026-01-07,Soldé,Restructuration,72,71554.32
CTR0000103,CLI006075,PROD005,AG021,64196.02,9629.4,11.67,12,5693.83,2017-03-08,2018-03-03,En cours,Automobile,12,68325.96
CTR0000104,CLI005061,PROD008,AG011,90699.85,0.0,7.27,12,7859.26,2022-02-17,2023-02-12,En cours,Consommation,12,94311.12
CTR0000105,CLI004261,PROD006,AG016,179845.92,0.0,10.09,78,3153.22,2016-11-08,2023-04-06,En cours,Restructuration,78,245951.16
CTR0000106,CLI002192,PROD002,AG021,30089.27,6017.85,9.65,12,2640.43,2022-02-17,2023-02-12,En cours,Automobile,12,31685.16
CTR0000107,CLI006507,PROD007,AG003,31611.85,0.0,9.74,30,1191.47,2019-08-08,2022-01-24,En cours,Consommation,30,35744.1
CTR0000108,CLI000720,PROD008,AG005,115876.5,0.0,7.5,36,3604.48,2018-11-13,2021-10-28,Soldé,Consommation,36,129761.28
CTR0000109,CLI006864,PROD006,AG006,296910.01,0.0,14.37,36,10201.12,2015-09-13,2018-08-28,Soldé,Restructuration,36,367240.32
CTR0000110,CLI008509,PROD001,AG019,294202.14,29420.21,6.05,36,8956.87,2021-07-10,2024-06-24,Soldé,Automobile,36,322447.32
CTR0000111,CLI009000,PROD005,AG004,55069.79,8260.47,9.07,48,1372.25,2020-11-20,2024-10-30,Soldé,Automobile,48,65868.0
CTR0000112,CLI006248,PROD003,AG011,147336.68,0.0,12.81,36,4950.88,2016-12-14,2019-11-29,En cours,Consommation,36,178231.68
CTR0000113,CLI005843,PROD006,AG006,93684.66,0.0,12.34,96,1540.2,2020-03-05,2028-01-23,En cours,Restructuration,96,147859.2
CTR0000114,CLI007440,PROD001,AG009,310863.37,31086.34,5.6,66,5483.47,2015-11-04,2021-04-06,En cours,Automobile,66,361909.02
CTR0000115,CLI005620,PROD003,AG015,23092.48,0.0,11.96,60,513.21,2015-10-25,2020-09-28,Soldé,Consommation,60,30792.6
CTR0000116,CLI008024,PROD007,AG007,32257.05,0.0,8.64,12,2815.54,2019-09-27,2020-09-21,En cours,Consommation,12,33786.48
CTR0000117,CLI008722,PROD004,AG020,10292.84,1029.28,9.34,12,901.75,2018-02-25,2019-02-20,En cours,Équipement,12,10821.0
CTR0000118,CLI005943,PROD006,AG006,230824.99,0.0,13.87,60,5355.35,2021-06-13,2026-05-18,En retard,Restructuration,60,321321.0
CTR0000119,CLI008551,PROD002,AG004,28552.0,5710.4,7.35,60,570.09,2019-05-12,2024-04-15,En cours,Automobile,60,34205.4
CTR0000120,CLI001658,PROD008,AG010,33501.86,0.0,8.08,24,1516.42,2015-03-11,2017-02-28,En cours,Consommation,24,36394.08
CTR0000121,CLI002771,PROD008,AG016,100758.56,0.0,8.23,42,2769.26,2022-09-29,2026-03-12,Soldé,Consommation,42,116308.92
CTR0000122,CLI006466,PROD008,AG013,27355.22,0.0,9.16,42,763.75,2022-06-06,2025-11-17,Restructuré,Consommation,42,32077.5
CTR0000123,CLI009003,PROD006,AG003,257321.98,0.0,13.02,78,4906.4,2021-02-13,2027-07-12,En cours,Restructuration,78,382699.2
CTR0000124,CLI001499,PROD005,AG010,77725.65,11658.85,8.8,18,4625.14,2021-07-02,2022-12-24,En cours,Automobile,18,83252.52
CTR0000125,CLI002811,PROD005,AG019,36413.59,5462.04,10.63,12,3212.01,2017-12-18,2018-12-13,En retard,Automobile,12,38544.12
CTR0000126,CLI008492,PROD004,AG013,71227.19,7122.72,11.59,48,1861.38,2021-07-30,2025-07-09,Soldé,Équipement,48,89346.24
CTR0000127,CLI004044,PROD005,AG013,63812.74,9571.91,10.61,36,2077.38,2018-10-12,2021-09-26,En cours,Automobile,36,74785.68
CTR0000128,CLI005389,PROD002,AG017,94509.42,18901.88,9.78,36,3039.8,2017-07-16,2020-06-30,Soldé,Automobile,36,109432.8
CTR0000129,CLI001159,PROD005,AG005,8450.91,1267.64,9.81,42,238.54,2015-06-08,2018-11-19,Soldé,Automobile,42,10018.68
CTR0000130,CLI006945,PROD008,AG004,94488.63,0.0,9.24,36,3015.28,2022-12-25,2025-12-09,En cours,Consommation,36,108550.08
CTR0000131,CLI002638,PROD001,AG007,482198.54,48219.85,5.65,24,21295.37,2018-03-17,2020-03-06,Soldé,Automobile,24,511088.88
CTR0000132,CLI006451,PROD006,AG015,59380.27,0.0,13.49,78,1147.22,2022-04-17,2028-09-12,En cours,Restructuration,78,89483.16
CTR0000133,CLI004945,PROD004,AG020,65989.7,6598.97,8.34,24,2994.78,2022-10-11,2024-09-30,En cours,Équipement,24,71874.72
CTR0000134,CLI005285,PROD005,AG019,14716.07,2207.41,12.12,30,571.05,2019-08-30,2022-02-15,En cours,Automobile,30,17131.5
CTR0000135,CLI008058,PROD008,AG005,75658.45,0.0,8.02,12,6582.11,2015-09-02,2016-08-27,En cours,Consommation,12,78985.32
CTR0000136,CLI002486,PROD006,AG011,237825.71,0.0,14.4,60,5583.23,2019-07-31,2024-07-04,En cours,Restructuration,60,334993.8
CTR0000137,CLI008346,PROD008,AG008,55566.9,0.0,8.67,24,2530.15,2018-05-25,2020-05-14,En cours,Consommation,24,60723.6
CTR0000138,CLI004688,PROD007,AG020,37085.56,0.0,9.45,12,3250.93,2015-10-13,2016-10-07,En cours,Consommation,12,39011.16
CTR0000139,CLI008905,PROD006,AG014,49921.37,0.0,11.59,96,800.16,2015-04-17,2023-03-06,En cours,Restructuration,96,76815.36
CTR0000140,CLI007154,PROD001,AG006,231782.96,23178.3,7.2,72,3973.97,2019-04-06,2025-03-05,Soldé,Automobile,72,286125.84
CTR0000141,CLI007276,PROD006,AG004,283786.58,0.0,13.25,36,9596.1,2021-06-25,2024-06-09,En cours,Restructuration,36,345459.6
CTR0000142,CLI003597,PROD004,AG017,33320.09,3332.01,11.67,12,2955.31,2019-08-23,2020-08-17,Soldé,Équipement,12,35463.72
CTR0000143,CLI003233,PROD006,AG003,171917.16,0.0,10.73,24,7991.15,2020-10-08,2022-09-28,En cours,Restructuration,24,191787.6
CTR0000144,CLI001956,PROD005,AG006,72716.36,10907.45,10.57,42,2078.83,2019-01-27,2022-07-10,Soldé,Automobile,42,87310.86
CTR0000145,CLI007357,PROD004,AG002,49184.01,4918.4,11.0,48,1271.19,2020-02-08,2024-01-18,En cours,Équipement,48,61017.12
CTR0000146,CLI005193,PROD004,AG006,29066.36,2906.64,9.94,12,2554.58,2023-02-06,2024-02-01,Soldé,Équipement,12,30654.96
CTR0000147,CLI001195,PROD004,AG004,16148.85,1614.88,9.8,12,1418.24,2015-11-25,2016-11-19,En contentieux,Équipement,12,17018.88
CTR0000148,CLI001019,PROD002,AG005,32235.87,6447.17,10.8,24,1499.45,2023-02-01,2025-01-21,En cours,Automobile,24,35986.8
CTR0000149,CLI007156,PROD005,AG001,63032.8,9454.92,9.24,42,1762.24,2017-03-31,2020-09-11,Soldé,Automobile,42,74014.08
CTR0000150,CLI004180,PROD003,AG006,51012.98,0.0,12.59,24,2415.44,2019-08-20,2021-08-09,En contentieux,Consommation,24,57970.56
CTR0000151,CLI000168,PROD007,AG013,73972.4,0.0,9.17,12,6474.83,2018-10-02,2019-09-27,En contentieux,Consommation,12,77697.96
CTR0000152,CLI005437,PROD006,AG019,124458.43,0.0,11.0,66,2521.71,2022-01-29,2027-07-02,Soldé,Restructuration,66,166432.86
CTR0000153,CLI008231,PROD005,AG016,55928.04,8389.21,12.24,36,1864.03,2021-06-20,2024-06-04,En cours,Automobile,36,67105.08
CTR0000154,CLI006958,PROD006,AG008,168194.01,0.0,10.77,30,6420.04,2019-11-14,2022-05-02,Soldé,Restructuration,30,192601.2
CTR0000155,CLI008765,PROD001,AG001,94135.19,9413.52,7.49,48,2275.65,2022-12-29,2026-12-08,En cours,Automobile,48,109231.2
CTR0000156,CLI000066,PROD002,AG010,31607.47,6321.49,9.99,54,729.11,2021-02-19,2025-07-28,En cours,Automobile,54,39371.94
CTR0000157,CLI002426,PROD003,AG008,117802.55,0.0,11.38,48,3066.45,2017-05-12,2021-04-21,En cours,Consommation,48,147189.6
CTR0000158,CLI004766,PROD008,AG005,101112.74,0.0,8.43,48,2488.92,2019-05-03,2023-04-12,En retard,Consommation,48,119468.16
CTR0000159,CLI003057,PROD002,AG014,159247.66,31849.53,8.48,48,3923.68,2019-09-11,2023-08-21,Soldé,Automobile,48,188336.64
CTR0000160,CLI004201,PROD005,AG009,34520.04,5178.01,9.5,24,1584.97,2018-05-24,2020-05-13,Soldé,Automobile,24,38039.28
CTR0000161,CLI002720,PROD005,AG021,14767.5,2215.12,9.31,30,553.65,2020-05-26,2022-11-12,En cours,Automobile,30,16609.5
CTR0000162,CLI000427,PROD008,AG021,21756.46,0.0,9.21,30,814.67,2019-04-12,2021-09-28,En cours,Consommation,30,24440.1
CTR0000163,CLI006314,PROD007,AG013,56621.8,0.0,9.8,36,1821.71,2019-09-29,2022-09-13,En retard,Consommation,36,65581.56
CTR0000164,CLI009680,PROD004,AG004,14465.87,1446.59,8.38,42,398.59,2020-07-15,2023-12-27,En retard,Équipement,42,16740.78
CTR0000165,CLI006755,PROD001,AG002,368705.76,36870.58,7.03,66,6752.02,2015-07-09,2020-12-09,En cours,Automobile,66,445633.32
CTR0000166,CLI003108,PROD001,AG001,453712.21,45371.22,6.26,30,16377.36,2018-10-12,2021-03-30,Soldé,Automobile,30,491320.8
CTR0000167,CLI008417,PROD005,AG006,17937.86,2690.68,9.52,48,450.83,2019-06-30,2023-06-09,En cours,Automobile,48,21639.84
CTR0000168,CLI002126,PROD008,AG014,80483.59,0.0,8.24,54,1788.86,2018-01-18,2022-06-26,En cours,Consommation,54,96598.44
CTR0000169,CLI005695,PROD004,AG017,26862.0,2686.2,10.5,24,1245.75,2017-05-11,2019-05-01,Restructuré,Équipement,24,29898.0
CTR0000170,CLI008438,PROD006,AG015,149716.54,0.0,12.9,78,2845.05,2021-02-22,2027-07-21,En contentieux,Restructuration,78,221913.9
CTR0000171,CLI009987,PROD001,AG018,476996.79,47699.68,7.33,18,28064.11,2016-05-31,2017-11-22,Soldé,Automobile,18,505153.98
CTR0000172,CLI004593,PROD001,AG020,205865.25,20586.53,5.75,54,4335.86,2017-01-13,2021-06-21,Restructuré,Automobile,54,234136.44
CTR0000173,CLI003683,PROD006,AG016,212378.53,0.0,13.44,24,10140.81,2021-12-01,2023-11-21,En cours,Restructuration,24,243379.44
CTR0000174,CLI005163,PROD005,AG021,67036.66,10055.5,9.9,18,4022.94,2022-03-02,2023-08-24,Soldé,Automobile,18,72412.92
CTR0000175,CLI009097,PROD005,AG019,74688.74,11203.31,12.05,42,2188.37,2022-11-06,2026-04-19,Soldé,Automobile,42,91911.54
CTR0000176,CLI009651,PROD004,AG014,58302.09,5830.21,10.79,24,2711.65,2023-01-30,2025-01-19,En cours,Équipement,24,65079.6
CTR0000177,CLI008759,PROD004,AG017,91559.67,9155.97,11.05,24,4269.52,2016-11-29,2018-11-19,En cours,Équipement,24,102468.48
CTR0000178,CLI007947,PROD001,AG020,60609.89,6060.99,6.47,54,1296.72,2021-10-26,2026-04-03,En retard,Automobile,54,70022.88
CTR0000179,CLI002769,PROD002,AG012,149965.44,29993.09,7.41,42,4064.57,2016-07-27,2020-01-08,Soldé,Automobile,42,170711.94
CTR0000180,CLI006829,PROD004,AG004,19436.36,1943.64,10.3,24,899.58,2019-09-04,2021-08-24,Soldé,Équipement,24,21589.92
CTR0000181,CLI009396,PROD006,AG017,111525.25,0.0,10.62,96,1729.11,2021-03-05,2029-01-22,En cours,Restructuration,96,165994.56
CTR0000182,CLI008295,PROD001,AG001,207886.95,20788.69,7.51,12,18036.69,2018-03-31,2019-03-26,En cours,Automobile,12,216440.28
CTR0000183,CLI009670,PROD005,AG015,72926.16,10938.92,10.67,48,1873.15,2017-07-22,2021-07-01,Soldé,Automobile,48,89911.2
CTR0000184,CLI005039,PROD001,AG004,146334.73,14633.47,6.37,42,3896.18,2020-10-03,2024-03-16,En cours,Automobile,42,163639.56
CTR0000185,CLI004892,PROD001,AG017,367931.33,36793.13,7.18,48,8841.33,2023-02-14,2027-01-24,En cours,Automobile,48,424383.84
CTR0000186,CLI007679,PROD002,AG004,169191.62,33838.32,10.5,60,3636.59,2019-06-08,2024-05-12,Soldé,Automobile,60,218195.4
CTR0000187,CLI003937,PROD001,AG015,290125.84,29012.58,6.97,42,7804.5,2022-12-08,2026-05-21,Soldé,Automobile,42,327789.0
CTR0000188,CLI003912,PROD003,AG008,99570.2,0.0,11.27,48,2586.52,2021-04-26,2025-04-05,En cours,Consommation,48,124152.96
CTR0000189,CLI001830,PROD007,AG016,31459.35,0.0,8.57,18,1868.71,2017-06-10,2018-12-02,En cours,Consommation,18,33636.78
